Student_ID,Gender,Age,Field_of_Study,Study_Hours_per_Day,Mode_of_Learning,Internet_Access,Satisfied_with_Learning_Environment,Participates_in_Extracurriculars,Feels_Stressed,Would_Recommend_Institute,Total Marks Scored
S00001,Other,24,Science,12,Hybrid,,Very Dissatisfied,Yes,No,Yes,78
S00002,Male,19,Medicine,8,Offline,Yes,Satisfied,No,Yes,Yes,91
S00003,Other,19,Law,10,,Yes,Dissatisfied,Yes,Yes,Yes,68
S00004,Other,21,Arts,11,Online,Yes,Dissatisfied,Yes,Yes,Yes,54
S00005,Male,18,Law,5,Online,No,Very Satisfied,No,Yes,No,82
S00006,Male,25,Commerce,2,Hybrid,Yes,Neutral,Yes,Yes,,47
S00007,Other,,Law,0,Offline,Yes,Dissatisfied,Yes,No,Yes,100
S00008,Female,25,Arts,10,Hybrid,Yes,Dissatisfied,No,Yes,No,60
S00009,Other,21,Law,7,Offline,Yes,Very Dissatisfied,No,No,No,78
S00010,Other,,Engineering,9,Hybrid,Yes,Satisfied,No,No,No,97
S00011,Other,20,Arts,2,Hybrid,Yes,Satisfied,No,Yes,,58
S00012,Other,19,Science,12,Hybrid,Yes,Very Satisfied,Yes,Yes,Yes,62
S00013,Male,24,Law,6,Offline,Yes,Satisfied,Yes,No,Yes,50
S00014,Other,23,Engineering,12,Online,Yes,Dissatisfied,,No,No,50
S00015,Female,23,Commerce,9,Online,Yes,Very Dissatisfied,No,No,No,63
S00016,Male,19,Commerce,5,Offline,Yes,Satisfied,No,Yes,Yes,92
S00017,Female,,Law,2,Online,Yes,Neutral,No,No,No,75
S00018,Female,20,Commerce,5,Hybrid,Yes,Neutral,No,No,Yes,79
S00019,Female,18,Science,11,Offline,Yes,Neutral,Yes,Yes,Yes,63
S00020,Female,19,Arts,2,Offline,Yes,Satisfied,No,Yes,No,42
S00021,Male,25,Engineering,12,Online,No,Very Dissatisfied,No,No,No,61
S00022,Male,18,Medicine,12,Online,Yes,Satisfied,Yes,Yes,No,92
S00023,Female,20,Law,8,Hybrid,Yes,Dissatisfied,No,No,Yes,41
S00024,Female,19,Commerce,12,Offline,Yes,Satisfied,No,No,No,63
S00025,Male,22,Arts,0,Online,,Neutral,Yes,Yes,No,83
S00026,Male,21,Medicine,12,Offline,Yes,,No,No,No,69
S00027,Male,22,Science,7,Hybrid,Yes,Very Dissatisfied,No,Yes,No,77
S00028,Other,24,Commerce,4,Hybrid,Yes,Very Satisfied,Yes,Yes,Yes,41
S00029,Other,22,Commerce,3,Hybrid,Yes,Neutral,,No,No,99
S00030,,25,Engineering,0,Offline,Yes,Neutral,No,No,Yes,60
S00031,Female,21,Science,,Offline,Yes,Very Satisfied,Yes,Yes,Yes,72
S00032,Other,24,Science,12,Offline,Yes,Satisfied,Yes,Yes,No,51
S00033,Female,21,Law,8,Offline,Yes,Neutral,No,Yes,No,97
S00034,Female,23,Medicine,12,Offline,Yes,Very Dissatisfied,Yes,Yes,Yes,61
S00035,Other,21,Engineering,4,Hybrid,Yes,Satisfied,Yes,No,,100
S00036,Female,19,Law,10,Hybrid,No,Satisfied,No,No,No,83
S00037,,18,Engineering,8,Hybrid,No,Neutral,No,No,No,64
S00038,Other,23,Science,9,Online,Yes,,No,Yes,Yes,88
S00039,Male,23,Engineering,,Hybrid,Yes,Satisfied,No,,No,66
S00040,Other,18,Engineering,6,Offline,Yes,Very Dissatisfied,Yes,Yes,Yes,98
S00041,Male,25,Engineering,7,Hybrid,Yes,Satisfied,Yes,Yes,No,81
S00042,Other,23,Arts,0,Online,Yes,Neutral,No,No,No,67
S00043,,21,Arts,3,Online,Yes,Neutral,Yes,Yes,Yes,99
S00044,Male,22,Medicine,9,Online,Yes,,No,Yes,Yes,55
S00045,Male,20,Medicine,9,Online,Yes,Dissatisfied,No,Yes,Yes,54
S00046,Other,25,Science,3,Online,Yes,Very Satisfied,Yes,Yes,Yes,86
S00047,Female,21,Engineering,11,Offline,Yes,Very Dissatisfied,No,Yes,,90
S00048,Male,24,Science,8,Hybrid,Yes,Very Dissatisfied,No,Yes,Yes,83
S00049,,24,Arts,2,Offline,Yes,Neutral,Yes,Yes,No,94
S00050,Female,22,Engineering,11,Offline,Yes,Dissatisfied,No,Yes,No,91
S00051,Female,25,Law,9,Online,Yes,Very Satisfied,No,Yes,No,96
S00052,Male,25,Arts,9,Hybrid,,Dissatisfied,Yes,Yes,No,42
S00053,Female,22,Arts,0,Hybrid,Yes,Neutral,No,No,Yes,76
S00054,Male,25,Arts,10,Hybrid,Yes,Satisfied,No,Yes,Yes,90
S00055,Female,23,Engineering,4,Online,Yes,,No,No,Yes,46
S00056,Other,19,Medicine,6,Offline,Yes,Neutral,No,Yes,Yes,60
S00057,Other,19,Commerce,11,Hybrid,Yes,Dissatisfied,No,Yes,No,48
S00058,Male,25,Law,3,Offline,Yes,Very Dissatisfied,No,Yes,No,78
S00059,Other,23,Law,8,Hybrid,Yes,,Yes,Yes,No,57
S00060,Other,23,Science,5,Hybrid,Yes,Satisfied,No,Yes,No,43
S00061,Female,18,Engineering,5,Hybrid,,Very Dissatisfied,No,Yes,,64
S00062,Male,18,Medicine,2,,Yes,Dissatisfied,No,Yes,No,99
S00063,Female,20,Arts,9,Online,Yes,Dissatisfied,Yes,No,Yes,53
S00064,Female,20,Commerce,9,Online,Yes,Very Dissatisfied,Yes,Yes,No,89
S00065,,20,Engineering,4,Offline,,Very Satisfied,No,Yes,No,97
S00066,Female,20,Engineering,9,Online,Yes,Dissatisfied,No,No,Yes,48
S00067,Female,22,Medicine,5,Hybrid,Yes,Very Dissatisfied,No,Yes,No,65
S00068,Female,22,Commerce,3,Offline,Yes,Very Satisfied,Yes,Yes,Yes,92
S00069,Female,18,Arts,12,Offline,Yes,Neutral,Yes,Yes,No,41
S00070,Male,19,Engineering,2,Offline,Yes,Satisfied,Yes,Yes,,59
S00071,Other,23,Law,4,Hybrid,Yes,Very Dissatisfied,Yes,Yes,No,67
S00072,Female,24,Law,6,Hybrid,Yes,Dissatisfied,No,No,Yes,86
S00073,Female,19,Commerce,10,Offline,Yes,Satisfied,No,No,No,99
S00074,,21,Arts,5,Online,Yes,Very Satisfied,No,Yes,No,46
S00075,Female,22,Commerce,1,Hybrid,Yes,,Yes,Yes,Yes,83
S00076,Female,20,Engineering,0,Hybrid,Yes,Very Dissatisfied,Yes,Yes,No,100
S00077,Female,20,Law,4,Online,No,Neutral,Yes,Yes,Yes,47
S00078,Other,21,Science,4,Offline,Yes,Very Satisfied,No,No,No,86
S00079,Other,19,Commerce,11,Online,Yes,Very Satisfied,Yes,Yes,Yes,74
S00080,Female,20,Science,11,Hybrid,Yes,Very Satisfied,No,Yes,Yes,53
S00081,,19,Science,5,,Yes,Satisfied,,Yes,No,56
S00082,Male,23,Medicine,2,Offline,Yes,Neutral,Yes,No,No,75
S00083,Female,21,Law,0,,Yes,Very Dissatisfied,No,Yes,No,89
S00084,Male,24,Commerce,3,Hybrid,Yes,Very Dissatisfied,,No,No,79
S00085,Male,19,Science,3,Hybrid,Yes,Satisfied,No,No,No,43
S00086,Female,23,Engineering,9,Offline,Yes,Very Dissatisfied,Yes,Yes,Yes,41
S00087,Other,25,Medicine,1,Hybrid,Yes,Very Dissatisfied,Yes,Yes,No,45
S00088,Male,25,Arts,7,Offline,Yes,Neutral,No,Yes,No,93
S00089,Female,19,,,Offline,Yes,Satisfied,Yes,Yes,Yes,81
S00090,Male,25,Arts,11,Offline,Yes,Satisfied,Yes,No,Yes,43
S00091,Male,19,Law,2,Hybrid,Yes,Very Satisfied,No,No,No,93
S00092,Male,20,Commerce,0,Online,Yes,Very Dissatisfied,Yes,Yes,Yes,68
S00093,Male,18,Commerce,11,Offline,Yes,,No,Yes,Yes,57
S00094,Other,25,Arts,10,Online,Yes,Neutral,No,No,Yes,65
S00095,Male,22,Engineering,2,Online,Yes,Neutral,No,No,No,83
S00096,Male,19,Arts,7,Online,Yes,Dissatisfied,Yes,No,No,73
S00097,Male,19,Arts,3,Online,,Very Satisfied,No,Yes,No,49
S00098,Other,19,Commerce,2,Online,Yes,Dissatisfied,Yes,Yes,No,75
S00099,Male,18,Science,12,Offline,No,Dissatisfied,No,Yes,Yes,53
S00100,,23,Engineering,10,Hybrid,Yes,Very Satisfied,No,Yes,Yes,70
S00101,Other,25,Commerce,3,Online,Yes,Dissatisfied,Yes,No,Yes,87
S00102,Other,24,Medicine,10,Hybrid,Yes,Very Satisfied,No,Yes,Yes,54
S00103,Other,24,Arts,3,Hybrid,Yes,Very Dissatisfied,No,No,No,47
S00104,Male,21,Science,1,Offline,Yes,Very Satisfied,No,No,No,53
S00105,Other,20,Engineering,3,Online,Yes,Satisfied,,Yes,Yes,62
S00106,Other,18,Law,10,Hybrid,Yes,Satisfied,No,No,Yes,99
S00107,Male,23,Engineering,11,Hybrid,,Dissatisfied,Yes,Yes,No,96
S00108,Other,19,Engineering,8,,Yes,Satisfied,Yes,Yes,Yes,79
S00109,Male,23,Arts,3,Offline,No,Very Satisfied,Yes,No,Yes,60
S00110,Female,18,Arts,11,Offline,Yes,Very Dissatisfied,Yes,No,Yes,55
S00111,Other,18,Law,0,Online,Yes,Very Satisfied,Yes,No,Yes,84
S00112,Female,18,Law,0,Hybrid,Yes,Neutral,,,Yes,57
S00113,,21,Law,0,Offline,No,Dissatisfied,No,No,No,86
S00114,Other,22,Commerce,4,Offline,Yes,Very Dissatisfied,No,Yes,No,92
S00115,Male,20,Commerce,5,Hybrid,Yes,Dissatisfied,Yes,No,No,63
S00116,Female,21,Arts,11,Hybrid,Yes,Neutral,No,Yes,Yes,65
S00117,Male,21,Arts,5,Hybrid,Yes,Satisfied,No,Yes,No,64
S00118,Other,25,Law,,Hybrid,Yes,Neutral,No,No,Yes,99
S00119,Other,22,Commerce,8,Online,Yes,Satisfied,Yes,No,Yes,99
S00120,Female,21,Science,0,Hybrid,Yes,Dissatisfied,No,Yes,No,99
S00121,Male,18,Commerce,9,Offline,Yes,Dissatisfied,No,Yes,Yes,84
S00122,Other,18,Arts,5,Hybrid,Yes,Dissatisfied,Yes,No,No,80
S00123,Female,25,Commerce,12,Hybrid,Yes,,No,Yes,No,68
S00124,Other,23,Arts,7,Online,Yes,Very Dissatisfied,No,,Yes,54
S00125,Other,19,Law,7,Online,Yes,Very Satisfied,Yes,No,No,84
S00126,Male,21,Law,11,Hybrid,No,Neutral,Yes,No,No,40
S00127,,19,,2,Online,Yes,Very Dissatisfied,Yes,Yes,Yes,64
S00128,Male,20,Science,12,Online,Yes,Dissatisfied,Yes,Yes,Yes,46
S00129,,24,Science,4,Online,Yes,Dissatisfied,No,Yes,Yes,48
S00130,Female,18,Arts,,Online,Yes,Dissatisfied,Yes,No,,63
S00131,,23,Engineering,3,Hybrid,Yes,Satisfied,No,Yes,No,40
S00132,Male,20,Medicine,11,Online,Yes,Neutral,Yes,No,No,83
S00133,Male,25,,0,Online,Yes,Very Satisfied,Yes,No,No,47
S00134,Female,23,Arts,8,Offline,Yes,Neutral,Yes,Yes,Yes,63
S00135,Other,24,Commerce,4,Hybrid,Yes,Satisfied,No,No,Yes,50
S00136,Other,24,Law,1,Online,Yes,Satisfied,,Yes,No,90
S00137,Female,25,Law,11,Offline,Yes,Neutral,No,Yes,No,56
S00138,Other,22,Law,1,Online,Yes,Satisfied,No,Yes,Yes,47
S00139,Other,25,Arts,10,Hybrid,Yes,Very Dissatisfied,Yes,Yes,No,74
S00140,Male,18,Law,6,Offline,Yes,Dissatisfied,Yes,No,Yes,74
S00141,Other,20,Science,3,Offline,Yes,Very Satisfied,Yes,,Yes,72
S00142,Other,22,Commerce,0,Hybrid,Yes,Satisfied,No,Yes,Yes,98
S00143,Female,24,Law,4,Offline,Yes,Very Satisfied,No,No,No,44
S00144,,20,,1,Offline,Yes,Dissatisfied,Yes,No,Yes,81
S00145,Male,23,Commerce,6,Online,Yes,Neutral,Yes,Yes,No,78
S00146,Other,22,Law,8,Offline,Yes,Dissatisfied,No,No,Yes,97
S00147,Other,22,Engineering,12,Hybrid,Yes,Very Satisfied,No,Yes,No,80
S00148,Other,18,Law,0,Online,Yes,Very Dissatisfied,Yes,No,Yes,67
S00149,Male,25,Medicine,11,Offline,Yes,Neutral,Yes,No,No,46
S00150,Male,19,Science,1,Online,Yes,Satisfied,Yes,Yes,No,48
S00151,Female,23,Commerce,10,Hybrid,Yes,Very Dissatisfied,No,Yes,Yes,47
S00152,,23,Science,5,Offline,Yes,Dissatisfied,No,No,Yes,51
S00153,Other,25,Engineering,7,Hybrid,Yes,,Yes,No,Yes,73
S00154,Other,22,Engineering,6,Hybrid,Yes,Very Satisfied,Yes,Yes,Yes,72
S00155,Male,22,Medicine,8,Offline,Yes,Very Satisfied,Yes,Yes,Yes,87
S00156,Other,18,Science,1,Offline,Yes,Dissatisfied,No,Yes,No,94
S00157,Other,19,Commerce,11,Online,Yes,Neutral,No,Yes,No,62
S00158,Male,23,Engineering,8,Hybrid,Yes,Satisfied,Yes,Yes,No,63
S00159,Male,24,Engineering,3,Offline,Yes,Very Dissatisfied,Yes,Yes,No,76
S00160,Other,21,Law,10,Hybrid,Yes,Dissatisfied,Yes,Yes,Yes,74
S00161,Other,21,Medicine,2,Offline,,Very Satisfied,No,Yes,Yes,83
S00162,,19,Arts,6,Hybrid,Yes,,No,No,Yes,79
S00163,Female,,Engineering,4,Online,Yes,Very Satisfied,No,Yes,Yes,61
S00164,Female,18,,12,Hybrid,Yes,Dissatisfied,No,Yes,,66
S00165,Female,19,,4,Offline,Yes,Very Satisfied,Yes,Yes,No,74
S00166,Male,25,Law,11,Online,Yes,Dissatisfied,Yes,No,,40
S00167,Female,25,Commerce,12,Online,Yes,Very Satisfied,No,Yes,No,74
S00168,Male,21,Law,1,Offline,Yes,Dissatisfied,No,Yes,No,76
S00169,Male,22,Engineering,5,,Yes,Very Satisfied,No,No,Yes,86
S00170,Female,,Engineering,5,Hybrid,Yes,Satisfied,Yes,No,Yes,53
S00171,Female,22,Engineering,11,Hybrid,Yes,Satisfied,No,No,No,42
S00172,Female,18,Engineering,3,Offline,Yes,Very Satisfied,Yes,Yes,No,40
S00173,Other,22,Arts,4,Hybrid,Yes,Very Satisfied,Yes,Yes,No,44
S00174,Female,19,Medicine,6,Offline,Yes,Dissatisfied,Yes,Yes,Yes,65
S00175,Other,22,Medicine,7,Online,Yes,Dissatisfied,No,Yes,Yes,94
S00176,Male,20,Arts,5,Hybrid,Yes,Dissatisfied,No,Yes,Yes,53
S00177,Other,25,Engineering,4,Offline,Yes,Neutral,No,Yes,No,78
S00178,Female,19,Commerce,11,Hybrid,Yes,Very Satisfied,No,Yes,No,66
S00179,Male,25,Law,2,Online,Yes,Very Satisfied,,No,No,48
S00180,,,Medicine,6,Online,Yes,Very Satisfied,Yes,No,Yes,54
S00181,Male,19,Science,7,Hybrid,Yes,Very Satisfied,No,Yes,No,54
S00182,Other,20,Law,2,Online,Yes,Dissatisfied,Yes,No,Yes,65
S00183,Female,18,Science,4,Offline,Yes,Dissatisfied,,No,Yes,81
S00184,Male,21,Science,10,Hybrid,Yes,Neutral,No,Yes,Yes,99
S00185,Male,20,Engineering,1,Hybrid,No,Dissatisfied,No,Yes,Yes,52
S00186,Male,18,Science,9,Online,Yes,Very Satisfied,,,Yes,90
S00187,Other,24,Engineering,9,Offline,Yes,,No,No,No,71
S00188,Other,22,Arts,11,Hybrid,Yes,Very Dissatisfied,Yes,Yes,Yes,78
S00189,Female,19,Commerce,3,Hybrid,Yes,Dissatisfied,No,Yes,Yes,88
S00190,Other,18,,11,Online,Yes,Very Dissatisfied,Yes,Yes,No,91
S00191,Male,19,Commerce,3,Online,Yes,Very Satisfied,No,No,No,100
S00192,Female,22,Engineering,11,Offline,Yes,Dissatisfied,Yes,Yes,No,71
S00193,Male,18,Science,12,Offline,Yes,Very Satisfied,No,Yes,Yes,43
S00194,Male,,Law,7,Online,Yes,Very Dissatisfied,No,Yes,Yes,69
S00195,Other,24,Arts,2,Offline,Yes,Very Dissatisfied,No,Yes,Yes,76
S00196,Female,24,Medicine,4,Online,Yes,Satisfied,Yes,Yes,No,62
S00197,Other,20,,10,Hybrid,Yes,Satisfied,No,Yes,Yes,78
S00198,Other,18,Science,4,Online,Yes,Dissatisfied,No,Yes,No,84
S00199,Female,22,Arts,1,Online,No,Dissatisfied,Yes,Yes,No,54
S00200,Male,18,Medicine,,Online,No,Dissatisfied,No,Yes,Yes,82
S00201,Male,19,Law,3,Hybrid,Yes,Dissatisfied,Yes,Yes,No,68
S00202,,23,Commerce,8,Offline,Yes,Dissatisfied,,Yes,No,75
S00203,Male,25,Law,8,,Yes,Dissatisfied,Yes,Yes,Yes,52
S00204,Female,18,Arts,1,Offline,Yes,Dissatisfied,Yes,Yes,Yes,71
S00205,Female,24,Medicine,8,Online,Yes,Very Dissatisfied,Yes,Yes,Yes,46
S00206,Other,,Commerce,8,Online,Yes,,Yes,,Yes,98
S00207,Female,25,Medicine,1,Offline,Yes,Very Dissatisfied,No,No,Yes,90
S00208,,24,Law,10,Hybrid,Yes,Very Satisfied,Yes,No,,61
S00209,Male,21,Engineering,12,Hybrid,Yes,Neutral,No,Yes,Yes,67
S00210,Male,18,Engineering,5,Hybrid,Yes,Very Satisfied,Yes,Yes,No,41
S00211,Male,20,Commerce,8,Hybrid,Yes,Dissatisfied,No,No,No,81
S00212,Male,18,Commerce,3,Online,Yes,Neutral,Yes,Yes,No,84
S00213,Other,23,Commerce,1,Offline,Yes,Very Dissatisfied,Yes,No,Yes,96
S00214,Male,24,Engineering,6,Hybrid,Yes,Very Dissatisfied,No,No,Yes,92
S00215,Female,19,Law,8,Online,Yes,Satisfied,No,No,No,45
S00216,Female,,Commerce,5,Online,Yes,Dissatisfied,Yes,Yes,Yes,67
S00217,Female,,Engineering,10,Online,Yes,Dissatisfied,Yes,Yes,No,67
S00218,Other,21,Commerce,10,Offline,Yes,Satisfied,No,Yes,Yes,83
S00219,Male,22,Commerce,3,Online,No,Very Satisfied,No,Yes,Yes,83
S00220,Male,18,Medicine,0,Offline,No,Satisfied,Yes,Yes,Yes,59
S00221,Male,18,Commerce,3,Offline,Yes,,Yes,Yes,Yes,69
S00222,Other,20,,2,Offline,,Very Dissatisfied,No,Yes,Yes,50
S00223,Female,21,Law,6,Offline,No,Satisfied,Yes,No,No,97
S00224,Female,23,Engineering,10,Online,Yes,Neutral,Yes,Yes,No,94
S00225,Male,22,Engineering,12,Online,Yes,,No,No,No,67
S00226,Female,24,Commerce,10,Online,Yes,,No,No,No,64
S00227,,19,Medicine,9,Hybrid,No,Very Dissatisfied,Yes,Yes,No,78
S00228,Other,18,Science,4,Hybrid,,Very Satisfied,Yes,Yes,No,72
S00229,Other,23,Science,11,Offline,Yes,Very Dissatisfied,No,No,,40
S00230,Other,22,Science,2,Offline,Yes,Dissatisfied,No,Yes,Yes,96
S00231,Other,19,Engineering,1,Offline,Yes,Very Satisfied,No,No,Yes,66
S00232,Male,23,Commerce,12,Offline,Yes,Very Satisfied,No,No,Yes,96
S00233,Other,21,Science,1,Offline,No,Satisfied,No,Yes,No,91
S00234,Female,21,Arts,4,Hybrid,Yes,Very Dissatisfied,Yes,,Yes,52
S00235,Male,22,Arts,12,Offline,Yes,Very Satisfied,No,Yes,Yes,80
S00236,Female,24,,12,Online,No,Very Satisfied,No,No,Yes,42
S00237,Female,25,Law,7,Offline,Yes,Very Dissatisfied,No,Yes,No,78
S00238,Female,19,Commerce,7,Online,Yes,Very Dissatisfied,Yes,Yes,No,45
S00239,,21,Engineering,11,Online,Yes,Neutral,Yes,Yes,Yes,47
S00240,Other,25,Engineering,4,Online,Yes,Satisfied,No,No,No,66
S00241,Male,22,Commerce,12,Online,Yes,Very Satisfied,Yes,No,No,48
S00242,Male,21,Medicine,,Offline,No,Very Dissatisfied,No,No,No,76
S00243,Other,21,Medicine,12,Offline,Yes,Very Satisfied,No,Yes,Yes,72
S00244,Female,23,Law,3,Offline,,Neutral,No,Yes,No,90
S00245,Male,25,Commerce,6,Offline,Yes,Neutral,,Yes,Yes,81
S00246,Other,23,Medicine,5,Offline,Yes,Very Satisfied,Yes,No,No,83
S00247,,21,Law,9,Hybrid,Yes,Satisfied,Yes,No,No,63
S00248,Other,25,Science,6,Online,Yes,Dissatisfied,No,Yes,No,54
S00249,Female,20,Science,4,Online,Yes,Very Satisfied,Yes,No,Yes,98
S00250,Other,25,Law,1,Hybrid,Yes,Neutral,No,Yes,No,93
S00251,Other,23,Commerce,7,Hybrid,Yes,Satisfied,Yes,No,Yes,71
S00252,Other,19,Science,11,Offline,Yes,Very Dissatisfied,No,Yes,Yes,71
S00253,Other,22,Commerce,1,Offline,Yes,Satisfied,No,Yes,No,63
S00254,Male,22,Medicine,11,Online,Yes,Satisfied,Yes,No,Yes,80
S00255,Male,24,Science,7,Offline,Yes,Very Satisfied,No,No,Yes,91
S00256,Other,19,Medicine,6,Online,Yes,Satisfied,Yes,Yes,Yes,88
S00257,Female,19,Commerce,2,Offline,Yes,Very Dissatisfied,No,Yes,Yes,88
S00258,Male,19,Commerce,12,Offline,Yes,Very Satisfied,No,No,No,97
S00259,Other,24,Arts,3,Online,Yes,Neutral,Yes,No,Yes,91
S00260,Male,19,Law,12,,Yes,Very Dissatisfied,No,No,No,51
S00261,Male,18,Engineering,6,Hybrid,Yes,Very Satisfied,No,Yes,Yes,78
S00262,Female,24,Law,3,Offline,Yes,,No,Yes,Yes,41
S00263,Other,22,Commerce,8,Hybrid,Yes,Dissatisfied,,No,No,42
S00264,,18,Commerce,6,Offline,Yes,Very Dissatisfied,Yes,Yes,Yes,88
S00265,Female,24,Law,0,Hybrid,Yes,Satisfied,Yes,Yes,No,76
S00266,Female,21,Commerce,0,Hybrid,Yes,Very Dissatisfied,Yes,Yes,Yes,88
S00267,Other,21,Medicine,3,Online,Yes,Very Dissatisfied,No,Yes,No,95
S00268,Other,22,Science,12,Hybrid,Yes,,Yes,Yes,No,56
S00269,Female,21,Commerce,8,Offline,Yes,Satisfied,Yes,Yes,,98
S00270,Male,19,Law,12,Online,Yes,Dissatisfied,No,No,Yes,88
S00271,Male,24,Law,3,Hybrid,Yes,,No,Yes,No,41
S00272,Female,18,Law,12,Online,Yes,Dissatisfied,Yes,No,Yes,41
S00273,Male,19,Arts,4,,Yes,Very Dissatisfied,,Yes,No,67
S00274,Female,21,Medicine,0,Offline,Yes,Dissatisfied,No,Yes,Yes,93
S00275,Male,23,Medicine,1,Offline,Yes,Neutral,,No,Yes,62
S00276,Male,25,Arts,10,Online,Yes,Satisfied,No,Yes,Yes,76
S00277,Other,18,Medicine,3,Hybrid,Yes,Satisfied,No,Yes,No,71
