Student_ID,Gender,Age,Field_of_Study,Study_Hours_per_Day,Mode_of_Learning,Internet_Access,Satisfied_with_Learning_Environment,Participates_in_Extracurriculars,Feels_Stressed,Would_Recommend_Institute,Total Marks Scored
S00001,Other,24.0,Science,12.0,Hybrid,,Very Dissatisfied,Yes,No,Yes,94.0
S00002,Male,19.0,Medicine,8.0,Offline,Yes,Satisfied,No,Yes,Yes,61.0
S00003,Other,19.0,Law,10.0,,Yes,Dissatisfied,Yes,Yes,Yes,80.0
S00004,Other,21.0,Arts,11.0,Online,Yes,Dissatisfied,Yes,Yes,Yes,83.0
S00005,Male,18.0,Law,5.0,Online,No,Very Satisfied,No,Yes,No,40.0
S00006,Male,25.0,Commerce,2.0,Hybrid,Yes,Neutral,Yes,Yes,,40.0
S00007,Other,,Law,0.0,Offline,Yes,Dissatisfied,Yes,No,Yes,40.0
S00008,Female,25.0,Arts,10.0,Hybrid,Yes,Dissatisfied,No,Yes,No,76.0
S00009,Other,21.0,Law,7.0,Offline,Yes,Very Dissatisfied,No,No,No,57.0
S00010,Other,,Engineering,9.0,Hybrid,Yes,Satisfied,No,No,No,67.0
S00011,Other,20.0,Arts,2.0,Hybrid,Yes,Satisfied,No,Yes,,40.0
S00012,Other,19.0,Science,12.0,Hybrid,Yes,Very Satisfied,Yes,Yes,Yes,95.0
S00013,Male,24.0,Law,6.0,Offline,Yes,Satisfied,Yes,No,Yes,50.0
S00014,Other,23.0,Engineering,12.0,Online,Yes,Dissatisfied,,No,No,94.0
S00015,Female,23.0,Commerce,9.0,Online,Yes,Very Dissatisfied,No,No,No,76.0
S00016,Male,19.0,Commerce,5.0,Offline,Yes,Satisfied,No,Yes,Yes,41.0
S00017,Female,,Law,2.0,Online,Yes,Neutral,No,No,No,40.0
S00018,Female,20.0,Commerce,5.0,Hybrid,Yes,Neutral,No,No,Yes,40.0
S00019,Female,18.0,Science,11.0,Offline,Yes,Neutral,Yes,Yes,Yes,86.0
S00020,Female,19.0,Arts,2.0,Offline,Yes,Satisfied,No,Yes,No,40.0
S00021,Male,25.0,Engineering,12.0,Online,No,Very Dissatisfied,No,No,No,95.0
S00022,Male,18.0,Medicine,12.0,Online,Yes,Satisfied,Yes,Yes,No,95.0
S00023,Female,20.0,Law,8.0,Hybrid,Yes,Dissatisfied,No,No,Yes,59.0
S00024,Female,19.0,Commerce,12.0,Offline,Yes,Satisfied,No,No,No,92.0
S00025,Male,22.0,Arts,0.0,Online,,Neutral,Yes,Yes,No,40.0
S00026,Male,21.0,Medicine,12.0,Offline,Yes,,No,No,No,93.0
S00027,Male,22.0,Science,7.0,Hybrid,Yes,Very Dissatisfied,No,Yes,No,52.0
S00028,Other,24.0,Commerce,4.0,Hybrid,Yes,Very Satisfied,Yes,Yes,Yes,40.0
S00029,Other,22.0,Commerce,3.0,Hybrid,Yes,Neutral,,No,No,40.0
S00030,,25.0,Engineering,0.0,Offline,Yes,Neutral,No,No,Yes,40.0
S00031,Female,21.0,Science,6.0,Offline,Yes,Very Satisfied,Yes,Yes,Yes,46.0
S00032,Other,24.0,Science,12.0,Offline,Yes,Satisfied,Yes,Yes,No,93.0
S00033,Female,21.0,Law,8.0,Offline,Yes,Neutral,No,Yes,No,65.0
S00034,Female,23.0,Medicine,12.0,Offline,Yes,Very Dissatisfied,Yes,Yes,Yes,99.0
S00035,Other,21.0,Engineering,4.0,Hybrid,Yes,Satisfied,Yes,No,,40.0
