Student_ID,Gender,Age,Field_of_Study,Study_Hours_per_Day,Mode_of_Learning,Internet_Access,Satisfied_with_Learning_Environment,Participates_in_Extracurriculars,Feels_Stressed,Would_Recommend_Institute
S00001,Other,24.0,Science,12.0,Hybrid,,Very Dissatisfied,Yes,No,Yes
S00002,Male,19.0,Medicine,8.0,Offline,Yes,Satisfied,No,Yes,Yes
S00003,Other,19.0,Law,10.0,,Yes,Dissatisfied,Yes,Yes,Yes
S00004,Other,21.0,Arts,11.0,Online,Yes,Dissatisfied,Yes,Yes,Yes
S00005,Male,18.0,Law,5.0,Online,No,Very Satisfied,No,Yes,No
S00006,Male,25.0,Commerce,2.0,Hybrid,Yes,Neutral,Yes,Yes,
S00007,Other,,Law,0.0,Offline,Yes,Dissatisfied,Yes,No,Yes
S00008,Female,25.0,Arts,10.0,Hybrid,Yes,Dissatisfied,No,Yes,No
S00009,Other,21.0,Law,7.0,Offline,Yes,Very Dissatisfied,No,No,No
S00010,Other,,Engineering,9.0,Hybrid,Yes,Satisfied,No,No,No
S00011,Other,20.0,Arts,2.0,Hybrid,Yes,Satisfied,No,Yes,
S00012,Other,19.0,Science,12.0,Hybrid,Yes,Very Satisfied,Yes,Yes,Yes
S00013,Male,24.0,Law,6.0,Offline,Yes,Satisfied,Yes,No,Yes
S00014,Other,23.0,Engineering,12.0,Online,Yes,Dissatisfied,,No,No
S00015,Female,23.0,Commerce,9.0,Online,Yes,Very Dissatisfied,No,No,No
S00016,Male,19.0,Commerce,5.0,Offline,Yes,Satisfied,No,Yes,Yes
S00017,Female,,Law,2.0,Online,Yes,Neutral,No,No,No
S00018,Female,20.0,Commerce,5.0,Hybrid,Yes,Neutral,No,No,Yes
S00019,Female,18.0,Science,11.0,Offline,Yes,Neutral,Yes,Yes,Yes
S00020,Female,19.0,Arts,2.0,Offline,Yes,Satisfied,No,Yes,No
S00021,Male,25.0,Engineering,12.0,Online,No,Very Dissatisfied,No,No,No
S00022,Male,18.0,Medicine,12.0,Online,Yes,Satisfied,Yes,Yes,No
S00023,Female,20.0,Law,8.0,Hybrid,Yes,Dissatisfied,No,No,Yes
S00024,Female,19.0,Commerce,12.0,Offline,Yes,Satisfied,No,No,No
S00025,Male,22.0,Arts,0.0,Online,,Neutral,Yes,Yes,No
S00026,Male,21.0,Medicine,12.0,Offline,Yes,,No,No,No
S00027,Male,22.0,Science,7.0,Hybrid,Yes,Very Dissatisfied,No,Yes,No
S00028,Other,24.0,Commerce,4.0,Hybrid,Yes,Very Satisfied,Yes,Yes,Yes
S00029,Other,22.0,Commerce,3.0,Hybrid,Yes,Neutral,,No,No
S00030,,25.0,Engineering,0.0,Offline,Yes,Neutral,No,No,Yes
S00031,Female,21.0,Science,,Offline,Yes,Very Satisfied,Yes,Yes,Yes
S00032,Other,24.0,Science,12.0,Offline,Yes,Satisfied,Yes,Yes,No
S00033,Female,21.0,Law,8.0,Offline,Yes,Neutral,No,Yes,No
S00034,Female,23.0,Medicine,12.0,Offline,Yes,Very Dissatisfied,Yes,Yes,Yes
S00035,Other,21.0,Engineering,4.0,Hybrid,Yes,Satisfied,Yes,No,
S00036,Female,19.0,Law,10.0,Hybrid,No,Satisfied,No,No,No
S00037,,18.0,Engineering,8.0,Hybrid,No,Neutral,No,No,No
S00038,Other,23.0,Science,9.0,Online,Yes,,No,Yes,Yes
S00039,Male,23.0,Engineering,,Hybrid,Yes,Satisfied,No,,No
S00040,Other,18.0,Engineering,6.0,Offline,Yes,Very Dissatisfied,Yes,Yes,Yes
S00041,Male,25.0,Engineering,7.0,Hybrid,Yes,Satisfied,Yes,Yes,No
S00042,Other,23.0,Arts,0.0,Online,Yes,Neutral,No,No,No
S00043,,21.0,Arts,3.0,Online,Yes,Neutral,Yes,Yes,Yes
S00044,Male,22.0,Medicine,9.0,Online,Yes,,No,Yes,Yes
S00045,Male,20.0,Medicine,9.0,Online,Yes,Dissatisfied,No,Yes,Yes
S00046,Other,25.0,Science,3.0,Online,Yes,Very Satisfied,Yes,Yes,Yes
S00047,Female,21.0,Engineering,11.0,Offline,Yes,Very Dissatisfied,No,Yes,
S00048,Male,24.0,Science,8.0,Hybrid,Yes,Very Dissatisfied,No,Yes,Yes
S00049,,24.0,Arts,2.0,Offline,Yes,Neutral,Yes,Yes,No
